Restaurant,Cuisine,Price,Fanciness,Address,Neighborhood,Lat,Lng,Phone,Hours,Washingtonian Rank,WaPo Sietsema,Eater 38,Michelin,NYT 25,James Beard,National Lists,Sources
Albi,Middle Eastern / Palestinian,$$$$,5,"1346 4th St SE, Washington, DC 20003",Navy Yard,38.874371236643,-77.000493498301,(202) 921-9592,Dinner,1,1.0,Yes,1 Star,Yes,,50 Best NA,6
Moon Rabbit,Vietnamese,$$$$,4,"927 F St NW, Washington, DC 20004",Penn Quarter,38.897401509865,-77.024527664813,,"Lunch, dinner",3,Yes,Yes,,Yes,Nominee,50 Best NA,6
2Fifty Texas BBQ,Central Texas BBQ,$$,2,"4700 Riverdale Rd, Riverdale Park, MD 20737",Riverdale Park,38.961956399289,-76.935120624935,(240) 764-8763,Lunch and dinner,10,,Yes,,Yes,Semifinalist,,4
Bresca,Contemporary American/French,$$$$,5,"1906 14th St NW, Washington, DC 20009",14th Street / U Street,38.915828587694,-77.032028223292,(202) 518-7926,Dinner only,,,Yes,1 Star,Yes,Semifinalist,,4
Casa Teresa,Spanish (Basque & Catalan),$$$,3,"919 19th St NW, Washington, DC 20006",Downtown DC,38.901594320784,-77.043387123624,,,22,,Yes,,Yes,Semifinalist,,4
Causa/Amazonia,Peruvian tasting + casual,$$$$,5,"920 Blagden Alley NW, Washington, DC 20001",Shaw,38.906554591629,-77.024594033458,(202) 629-3942,Dinner only (and Amazonia starts service at 3 p.m. on weekends),16,,Yes,1 Star,,Winner,,4
Daru,Indian,$$,2,"1451 H St NE, Washington, DC 20002",H Street Corridor,38.900147468923,-76.984524689817,,,57,,,Bib Gourmand,,Nominee,Bon Appétit,4
Dōgon,Afro-Caribbean,$$$$,4,"1330 Maryland Ave SW, Washington, DC 20024",The Wharf,38.883607,-77.0303414,(877) 401-9818,Dinner,8,Yes,Yes,,,,"50 Best NA, Bon Appétit",4
Mama Chang,Chinese,$$,2,"3251 Blenheim Blvd, Fairfax, VA 22030",Fairfax,38.8586,-77.286,(703) 268-5556,Lunch and dinner,81,Yes,Yes,,Yes,,,4
Oyster Oyster,Vegetable-driven contemporary,$$$$,5,"1440 8th St NW, Washington, DC 20001",Shaw,38.909018551793,-77.023016339485,,Dinner only,62,,Yes,1 Star,Yes,,,4
Pascual,Mexican,$$$$,4,"732 Maryland Ave NE, Washington, DC 20002",Capitol Hill,38.895220040023,-76.995781591058,,Dinner,13,3.0,Yes,,Yes,,,4
Tapori,Indian / South Indian street food,$$$,3,"1304 H St NE, Washington, DC 20002",H Street NE,38.900254507932,-76.988107566107,,,43,,Yes,,,Nominee,"Eater National, Resy 100",4
The Dabney,American,$$$$,5,"122 Blagden Alley NW, Washington, DC 20001",Shaw,38.906154582785,-77.024264530281,,,15,Yes,,1 Star,Yes,,,4
Amparo Fondita,Mexican (modern coastal),$$,2,"1667 Wisconsin Ave NW, Washington, DC 20007",Dupont Circle,38.911921385661,-77.065654127664,,"Dinner, plus lunch and weekend brunch",56,,Yes,Bib Gourmand,,,,3
